2022-10-31 12:50:36,286 DEBUG decos.py Была вызвана функция arg_parser c параметрами ('7777', '') , {}. Вызов из модуля __main__
2022-10-31 12:50:36,364 INFO server.py Запущен сервер, порт для подключений: 7777 , адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов.
2022-10-31 12:51:00,769 DEBUG decos.py Была вызвана функция arg_parser c параметрами () , {}. Вызов из модуля __main__
2022-10-31 12:51:18,050 DEBUG decos.py Была вызвана функция arg_parser c параметрами () , {}. Вызов из модуля __main__
2022-10-31 12:51:24,878 INFO server.py Установлено соедение с ПК ('127.0.0.1', 53024)
2022-10-31 12:51:24,878 DEBUG decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1667209884.8784425, 'user': {'account_name': 'test1'}}) , {}. Вызов из модуля common.utils
2022-10-31 12:51:24,878 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:25,394 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1296, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53024)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:25,394 DEBUG server.py Разбор сообщения от клиента : {'action': 'presence', 'time': 1667209884.8784425, 'user': {'account_name': 'test1'}}
2022-10-31 12:51:25,425 DEBUG decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=1296, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53024)>, {'response': 200}) , {}. Вызов из модуля common.utils
2022-10-31 12:51:25,425 DEBUG decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>, {'action': 'get_users', 'time': 1667209885.4253013, 'account_name': 'test1'}) , {}. Вызов из модуля common.utils
2022-10-31 12:51:25,425 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:25,940 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1296, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53024)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:25,940 DEBUG server.py Разбор сообщения от клиента : {'action': 'get_users', 'time': 1667209885.4253013, 'account_name': 'test1'}
2022-10-31 12:51:25,972 DEBUG decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=1296, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53024)>, {'response': 202, 'data': ['test3', 'test1', 'test2']}) , {}. Вызов из модуля common.utils
2022-10-31 12:51:25,987 DEBUG decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>, {'action': 'get_contacts', 'time': 1667209885.987785, 'account_name': 'test1'}) , {}. Вызов из модуля common.utils
2022-10-31 12:51:25,987 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:26,487 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1296, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53024)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:26,487 DEBUG server.py Разбор сообщения от клиента : {'action': 'get_contacts', 'time': 1667209885.987785, 'account_name': 'test1'}
2022-10-31 12:51:26,487 DEBUG decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=1296, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53024)>, {'response': 202, 'data': ['test3', 'test2']}) , {}. Вызов из модуля common.utils
2022-10-31 12:51:27,581 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:29,112 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:30,643 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:32,175 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:33,706 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:35,237 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:36,768 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:38,299 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:39,831 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:41,362 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:42,893 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:44,487 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:46,034 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:47,565 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:49,096 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:50,627 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:52,158 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:53,690 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:55,221 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:56,752 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:58,283 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:51:59,814 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:01,346 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:02,877 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:04,408 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:05,939 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:07,470 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:09,002 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:10,533 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:12,064 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:13,595 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:15,126 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:17,392 DEBUG decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'from': 'test1', 'to': 'test2', 'time': 1667209926.1741085, 'mess_text': 'hi'}) , {}. Вызов из модуля common.utils
2022-10-31 12:52:17,486 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1296, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53024)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:17,486 DEBUG server.py Разбор сообщения от клиента : {'action': 'message', 'from': 'test1', 'to': 'test2', 'time': 1667209926.1741085, 'mess_text': 'hi'}
2022-10-31 12:52:17,501 ERROR server.py Пользователь test2 не зарегистрирован на сервере, отправка сообщения невозможна.
2022-10-31 12:52:18,158 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:28,548 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:30,080 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:31,611 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:33,142 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:34,673 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:36,204 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:37,736 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:39,267 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:40,798 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:42,314 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:43,845 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:45,376 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:46,907 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:48,423 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:49,949 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:51,464 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:52,977 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:54,508 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:56,039 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:57,571 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:52:59,102 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:53:00,633 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:53:02,164 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:53:03,696 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:53:05,227 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:53:06,758 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:53:08,289 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-10-31 12:53:09,820 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=1116, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53024), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
